,tweet
681,"Ohio pay attention to the below and make sure you’re voting for @JDVance1. You’ve seen what the RINOs will do for America and it’s not pretty, so don’t let them get elected."
682,"Our new Minister of Truth seems insane. Seems she also totally bought into every piece of misinfo of the last half decade. I know, I know… None of this is about misinformation, and it never was."
683,https://t.co/w2L85twOv9
684,"🚨#OHSen🚨

@JoshMandelOhio is outed as the establishment RINO fraud he truly is. 

Mandel serves Mitch McConnell and is owned by the GOP establishment. MAGA can not trust him - Don't be fooled by this RINO fraud!!! https://t.co/ptNHuxw40f"
685,"Biden is asking for $33 Billion to send to Ukraine on top of the billions already sent to the very corrupt nation, but they couldn’t spend a tiny fraction of that to finish the wall, secure our border &amp; end the humanitarian crisis &amp; drug/sex trafficking at our border!#AmericaLast"
686,Great time with @TuckerCarlson talking not just the flagrant attacks on our First Amendment rights but the dual attacks on the Second. We must fight for all of our rights and not allow the democrats to destroy our freedoms and our rights. #2ATF https://t.co/fzm3rCw6Vo
687,"Brutal!!!

Piers Morgan Viewership Crashes 70 Percent After Trump Aide Crushes His Mishandling of Deceptively Edited Interview Promo

https://t.co/d57omed3ow"
688,Please have your new Minister of Propaganda review this for misinformation.
689,Fixed it for you: Biden admin focuses on anything but the stuff that actually effects hard working Americans who are struggling due to his/Democrat’s gross incompetence.
690,"🚨New Ohio Senate Poll!!! #OHSen🚨

Vance: 31%
Mandel: 19%
Dolan: 12%
Gibbons: 12%
Timken: 8%

Exclusive: Trump-Endorsed J.D. Vance Takes Commanding Lead in New Poll

https://t.co/BgSLxoGbh8"
691,"Rather than having the middle class pay off/subsidize the elite’s student loans, why don’t we address the absurd cost of college, their multi-billion $ tax free endowments &amp; the ever declining value proposition of the worthless degrees that so many drive themselves into debt for?"
692,"Hard pass. How about we use it to help Americans in need? Or to perhaps secure out border? Maybe get our energy sector going again? Education? 

No, instead we’ll give it to one of the most corrupt countries in the world, where I’m sure most will be looted by corrupt politicians."
693,Can’t just Blame Joe Biden. Few believe he’s capable of coming up with these policies. What he’s signing into law is DEMOCRAT POLICY. Leftist are doing what they said they would do and we are feeling the consequences of their stupidity. Remember that!
694,Not unexpected for anyone who has purchased anything lately.
695,Strange that she would warn us about this since fascism seems to be a major component of the democrat party platform. Was this speech the same day Biden announced his ministry of truth?
696,"Excellent. This is like an in kind contribution to the Republican Party. While they’re being so helpful can we also see a lot more of Kamala. 

Biden ramping up for the midterms: 'Expect more POTUS’ | Fox News https://t.co/pOscRfVZUu"
697,…So to make sure there are no abuses of power we are going to create a hyper-partisan government controlled Ministry of Truth!!!
698,"Who is the real @JoshMandelOhio?

Well his mentor in politics was neocon RINO BIll Kristol. 

Which explains why Josh supports a ""European led"" no-fly-zone in Ukraine. #OHSen https://t.co/PdRawwm8YH"
699,Wrong. They’re still our kids and we as their actual parents want to know what they’re being taught. We want to make sure they’re not being indoctrinated. We want them to learn math not imaginary genders and leftist bullshit. We want our kids to be successful… not crackheads.
700,The left is not interested in neutrality. To them it’s bullying if you take away their upper hand.
701,"I’d be willing to bet that I didn’t visit the White House 27 times to see my own father, but Joe definitely never met with Hunter’s business partner in more than two dozen visits."
702,Well the Dems have to bribe their electorate handsomely… those gender studies PHDs don’t come cheap nor do they pay well if at all.
703,"This insanity from the Biden administration is precisely why the senate &amp; Ohio needs @JDVance1 who will not just kowtow to Dems &amp; the establishment to allow this kind of inevitable gross partisanship controlling free-speech in America.

Establishment RINOs will give it all up."
704,"You’re right, all the woke activist shareholders at Twitter who are going to receive the $44 billion should donate it all to climate change. 

It will be fascinating to see how much they actually give away. My guess is about none of it."
705,"No one in congress has spread more disinformation than this guy, but because he’s a leftist there’s no consequences. Whatever happened to all the Russia Collusion info he said “saw with his own eyes”? Or the altered emails like @Jim_Jordan’s and mine? America is still waiting."
706,Would be a great start.
707,Seems Shadow Banning is yet another “right-wing conspiracy theory” that was 100% true.
708,"Hello, 911… I’d like to report a murder!"
709,"While I’m awesome and totally deserving of 87,000 new followers a day it seems that someone took the shackles off my account. Wonder if they’re burning the evidence before new mgmt comes in? https://t.co/9Mso48qyNP"
710,Is this the greatest self-own of all time? Do they really not know that this is what has been done to conservatives for the last few years? I genuinely don’t think they get it. They really thought that we were on an equal footing here. Amazing https://t.co/agJp91ztFY
711,"Enough is enough. Radical leftists are seeking to indoctrinate American children, pushing Critical Race Theory in schools. And the media gaslights parents and covers it up. Demand that the institutionalized racism of CRT be removed from schools here now! https://t.co/bAXuqVQRzU"
712,"The same pro-China group funding career politician @JoshMandelOhio, spent $10 million to stop Trump in 2016 &amp; are spending millions today to stop @JDVance1.

JD stands with MAGA on using tariffs against China, while Mandel is owned by the weak on China RINO establishment. #OHSen https://t.co/Q3eQU96WJi"
713,This perfectly sums up the left. To them Elon Musk’s aptitude is determined by his degrees &amp; not the fact that he did what all the Phds at NASA combined can’t seem to do efficiently. They think Phds in gender studies are worth more than real people with actual accomplishments!
714,White Flight???
715,With the receipts!!! It was always bullshit… they all knew it but that didn’t matter at all.
716,https://t.co/TN1Q8b6GLQ
717,That alone is worth $44 billion.
718,"Ohio is fired up to elect @JDVance1!!! 

#OHSen"
719,Never skip range day
720,"Read my new OpEd about why all America First conservatives should support @JDVance1!

""While nearly every candidate running for Senate proclaims themselves to be ""America First,"" Vance stands out from the pack because of his genuine populist convictions""

https://t.co/L1ZXTcSAxr"
721,@RyanGirdusky Ok that’s pretty funny.
722,Nunes: Truth Social fully launched for iPhone users https://t.co/BM5UbVRf1e
723,"More importantly, I’ll never forget him as the one GOP senator who voluntarily showed up and sat through my Russia Russia Russia inquisition simply as a show of support for what he too new to be nonsense. Thank you again sir! R.I.P."
724,"Sorry to hear of the passing of my friend Senator Orrin Hatch. A man of great integrity who got what was going on in 2016 and became an unlikely ally &amp; mentor, bringing some much needed perspective to a political neophyte like me. https://t.co/QhyGcGmjER"
725,"This is America First @JDVance1 

https://t.co/VRjAEzspER"
726,Must watch!!! https://t.co/IzdrIEM7V8
727,Fact Check: True
728,"WATCH THIS RIGHT NOW 🔥🔥🔥

""The leadership of the Republican Party sold us out on trade. The leadership of the Republican Party has fought consistently against strong &amp; secure borders."" - @JDVance1 to @TuckerCarlson  #OHSen https://t.co/GxldT4x6Ya"
729,This Tennessee swamp creature was endorsed by a guy who spent the last week praising Hitler and making anti-Semitic comments about my sister. She hasn’t condemned his comments. I’m thinking maybe she shouldn’t be teaching kids about history or serving in congress. #TN05
730,They should get the money from all those who have the Ukraine 🇺🇦 in their bio… or was that all just virtue signaling. I’m sure a couple dollars of this will actually go to something other than corrupt govt officials. https://t.co/kvqvsxk2IL
731,99.99% I’ll keep wearing one so I can stay under the radar.
732,Dems should love that they’re going to tax the rich and make them pay “their fair share”
733,"You mean do exactly what the Democrat controlled Main Stream Media has been doing for decades!?! 

Yea. I’m actually with you on this one."
734,"Ohio friends - Meet the real @JoshMandelOhio. 

The Club for Chinese Growth backed establishment candidate in the #OHSen race. 

https://t.co/RTZEfGo3i6"
735,"The RINO frauds attacking @JDVance1 HATE him precisely because they know he will shake up the establishment and put America First in the Senate!

#OHSen https://t.co/ngEN6LmvzS"
736,"The radical left is on the attack, &amp; they’re gunning for true conservatives like @SarahHuckabee Sanders. We need to have her back. Stand with Sarah as she stops the radical left from taking over our by donating to her campaign for Governor of Arkansas here!https://t.co/0ZXcSz5ZgB"
737,Donald Trump Jr. vouches for Vance in Ohio Senate race | The Blade https://t.co/YqavtLRdQN
738,Celebrating the life of CNN+ https://t.co/n0p5KRStgi
739,"Netflix: we can’t figure out why we’re hemorrhaging hundreds of thousands of subscribers. 

Also Netflix: https://t.co/sDGqiXL75l"
740,"Other than everyone, who could have seen this coming???"
741,Must be a lib poll. I’ve flown out of Miami &amp; Cleveland in the last 2 days and about 90% of people are massless. I’m sitting in an airport now and I can see 60+ people and can count 5 masks including me but I’m wearing one for anonymity not bc I think a small cloth does anything
742,He literally has no idea.
743,This is what America First looks like.
744,"Actual audio is in the Breitbart story… it’s totally brutal how misleading and deceptive the Morgan promo edit is. 

Deceptive Edits: Audio Contradicts Piers Morgan, Shows He Warped Trump Interview Ending in Promo https://t.co/6Prc6OUQir"
745,"Yikes!!!

The Bulk of Liz Cheney’s Donations Have Come from Outside Wyoming

https://t.co/A9paZHw4dh"
746,Where’s the WAPO Expose on this sicko? Millions of Americans would be far more interested in what he wants to teach our children than they are in learning about the person behind an account that reposts todays’s left in their own words.
747,The democrats can’t let go of the stranglehold they had on you and all aspects of your lives. It’s not about science it’s about control and they ain’t giving it up if they don’t have to.
748,"Bring Back The Bee!!! 🐝 

The Babylon Bee is STILL suspended here on Twitter. Sign up for their newsletter to stay ahead of the censorship. https://t.co/2m8vIxuzVL"
749,@washpostbiz I’m just here for the ratio.
750,I think she’s just upset that others would use her own tactics against her… the ordinary citizens calling her out though don’t have the full backing of Jeff Bezos’ Washington Post to really pressure others into silence and further disseminate their info for future reprisal.
751,"The question @libsoftiktok often raises — &amp; the Left wants to ignore — is do parents have a right to know what their children are being taught in their public school, or not? No @TaylorLorenz hit piece can change the fact that America’s parents are with us, not the groomers."
752,"What are the two things that all of these people &amp; institutions have in common?

1. They all hate &amp; oppose Donald Trump

2. They all hate &amp; oppose @JDVance1

The same America Last establishment that hates Trump, hates JD...And that's exactly why we need to send JD to the Senate! https://t.co/GqIl9nS67T"
753,"Looks like the only thing that Joe Biden and the Democrats built back better is ISIS. 

ISIS Calls For Attacks in Europe Urging to Take Advantage of Ukraine War https://t.co/LiiPDDT8Df"
754,"This is exactly right. Enough of the weak RINOs who talk a good game and then sell out the America First agenda.

We need more #MAGA fighters like @JDVance1 who will actually fight for the America First agenda on immigration, trade, ending endless wars &amp; breaking up Big Tech."
755,"Radical leftists are seeking to indoctrinate American children, pushing Critical Race Theory in schools. And the media gaslights parents and covers it up. Help @prageru and demand CRT be removed from schools. https://t.co/bAXuqVQRzU"
756,"Don’t forget to pay your taxes today… There are people all over the world, many of whom hate your guts, who are depending on it."
757,"Join President Trump and me in supporting @JDVance1's campaign with a small donation. The RINO establishment is doing everything they can to stop JD because they know that he will fight to put America First in the Senate!

DONATE:

https://t.co/z3ztu0Z8G3"
758,"My dad and I are both supporting America First champion @JDVance1 for Senate because he's a conservative fighter who will stand with us against the radical left and the weak establishment RINOs in Washington DC! 

#OHSen https://t.co/dxEJU0Yofp"
759,Happy Easter everyone
760,I’ve never seen a forum fight so hard to make sure that free speech is prohibited… I mean outside of fascist dictatorships of course.
761,MAGA Crowd Praises Trump's Endorsing J.D. Vance: 'The Right Choice!' https://t.co/jwsjlkjnCV
762,Have we heard anything about the motives of the NYC shooter yet? Seems we always hear about those things but no one has any interest in motive or even the story anymore… oh yea. NVM.
763,"I’ve gotten to know @JDVance1 personally over the past year &amp; I'm convinced that he's 100% America First.

The leftwing media, the Dems &amp; the weak RINOs all HATE him because they know he stands with #MAGA.

He's the real deal folks, that's why my dad &amp; I are both supporting him!"
764,Rigged
765,"Elon Musk controlling Twitter and allowing for free speech is literally worse than Pearl Harbor!!!

You know it’s coming folks"
766,It ain’t just Twitter censoring… it’s all of tech… and media who probably wouldn’t write the story if it was served up to them on a silver platter.
767,"As if the rabid censoring here wasn’t enough for the Twitter board to be violating their fiduciary responsibilities to shareholders, they’re now turning down an offer of almost double what Twitter’s bankers at Goldman Sachs said people should sell at. The lawsuits should be fun."
768,Textbook
769,"Was Frank James declared innocent? If not, it’s amazing that he could be totally out of the news cycle despite shooting 10 people earlier this week. 
What happened? (Allegedly)"
770,Thread
771,I was told any kind of nationalism was terrible… since I’m hearing nothing about it I guess not. Wonder why🙄
772,Hahahaha
773,"Here we go folks. Fitness is racist coming soon, because it really sucks to want to be healthy and strong rather than just being a sick weakling."
774,Democrats won’t let a parent pick their child’s school but they’ll let a child pick their gender.
775,"The Biden Administration is on a path to destroying our country, but the America First movement is not over. The America First Policy Institute is protecting American values and building a brighter future for all.
Click learn more! @A1Policy. https://t.co/JUCRDEvG6s"
776,"Oh I thought she was a “real” conservative who just didn’t like Trump.🤡 Ask defenseless Americans whose property was burned down in the riots if they didn’t need an AR-15. Ask Chinese citizens getting beat for coming outside, or the Uyghurs if they don’t need AR-15s. SELLOUT!"
777,Why do the security cameras never seem to work when the reality of the crime isn’t good for the leftist narrative???
778,Shocked 🙄
779,Great work NYPD. Despite the constant attacks from the leftist leaders of New York you guys still get it done… unlike the FBI leadership who seem far more interested in creating crimes and letting the actual bad guys go.
780,This should surprise exactly no one who has been watching.
781,"I thought they went to some lengths to say it wasn’t terror? Maybe because they described the terrorist and the description wasn’t good for the narrative. 

Man arrested in Brooklyn subway attack charged with terror | AP News https://t.co/aGPuuLUAwp"
782,"Brooklyn subway shooting suspect was on FBI's terrorist radar till 2019 then they got too busy chasing down garage pulls, interrogating your grandmother who took a selfie on J6, &amp; trying to frame/entrap some meth-heads in Michigan.

Has FBI brass ever prevented/solved anything?"
783,"Radical leftists are seeking to indoctrinate American children, pushing Critical Race Theory in schools while the media gaslights parents and covers it up. 
It’s time to demand CRT be removed from schools now! Help by signing up here!!! https://t.co/bAXuqVQRzU"
784,What would possibly lead CNN to believe people were going to pay for something that basically no one watches for free? (other than at airports) https://t.co/ikJzHVAeKb
785,"You’d think given their sentiments in animals Disney would be really vocal about China confiscating it’s citizens let’s and murdering them in the streets somehow under the guise of public safety, but you’d be wrong… they’re silent on all China’s atrocities."
786,If this is accurate watch how quickly the media will make the entire story disappear.
787,"Even the birds know. Apparently a bird just shit on Biden in Iowa. That bird speaks for anyone who’s filled their tank or gone shopping in the last 18 months. 
 https://t.co/fYeoWM9Nep"
788,Hope all those Biden voters are really enjoying their 8.5% pay cut. #inflation
789,It’s science!!!
790,"So sorry to hear this. Gilbert was a great guy and a comedic genius. 
R.I.P."
791,"Remember when Biden gave you a ONE TIME $1200 kickback in his “American Rescue Plan,"" that printed $2 trillion out of thin air. Democrats will now cost the avg American over $5000 PER YEAR that this continues in higher costs due to inflation! Great work!

Stop voting for Dems."
792,"8.5% inflation. The highest in 40 years. This is what Democrat policies get you. You just got an effective 8.5% pay cut, but don’t worry I’m sure all the Pelosi Dems in DC who are insider trading legally will make up for that difference and be fine.

You, however are screwed!"
793,Tired of the monopoly that Apple News and Big Tech has over your news? Download my new app right now for free. Mainstream News without Mainstream Bias right from your iPhone or Android. Download https://t.co/2yoPhFU0To now for free!!! https://t.co/mlFBrWstMH
794,Biden and Radical Democrats are STILL pushing mandates on airplanes and public transportation. Join strong conservative leaders who are ready to take back the house and END THE MANDATES here! https://t.co/2vswjDIhiX
795,This #ad has one purpose and its to let you know that free speech is about to make a major comeback... Stay tuned @letsgo 🇺🇸
796,Oh boy!!! https://t.co/ZZDA8jhqkx
797,Most popular president ever! https://t.co/yCRB4woAiI
798,OMG how dare you not allow small children mutilate themselves and cause permanent and in many cases irreparable damage to their bodies and psyches before they’re allowed by law to make far less important decisions!!!
799,"But hey, the virtue signaling props you got from your donation and your black square posts on social were totally worth being scammed… right???"
800,I’m sure the two things have nothing to do with each other. Definitely not a consistent pattern of behavior from the left.
801,Enough! Biden and Radical Democrats are STILL pushing mandates on airplanes and public transportation. Join strong conservative leaders who are ready to take back the house and END THE MANDATES here! https://t.co/AdSsznYT4R
802,How much do you want to bet that there are far more leftists being called groomers that are actually groomers than there are conservatives who leftists repeatedly called “actual nazis” that are anything even close to that?
803,This times 1000!!!
804,Live Action is demanding Congress investigate the deaths of 5 babies - potentially born alive - found outside of a D.C. abortion facility. Add your name to the petition demanding #JusticeForTheFive and hold those responsible accountable now! https://t.co/NlkQfeLJte
805,Trump narrates new ad saying his coffee table book is back in stock https://t.co/pDDPD3poh4 via @MailOnline
806,I’m shocked🙄
807,The America First movement in North Carolina is rallying around @TedBuddNC to defeat RINO @PatMcCroryNC!!!
808,This summer get your kids outdoors enjoy all that America has to offer… don’t waste your money on overpriced bullshit and junk food at Disney World.
809,Well Bye: One of the 10 House GOP yes votes for impeachment! I’m sure his poll #s were stellar.
810,"If you're mad at RINOs like Mitt Romney &amp; Lisa Murkowski for caving to the left on KBJ, don't just complain, make them pay at the ballot box.

Murkowski is up for reelection THIS YEAR. Join my father and I in supporting @KellyForAlaska!

DONATE BELOW!!!

https://t.co/75107UAfUx"
811,The wealthy and powerful would rather Biden steal your prosperity and wreck your children’s future than endure a few mean tweets.
812,Secret Service paying over $30K per month for Malibu mansion to protect Hunter Biden!  https://t.co/r6EpW0aY3Z
813,"Jackson is a leftwing radical, who is soft on pedophiles. 

She doesn't belong anywhere near the Supreme Court!!!"
814,Insanity.
815,April fool’s Day is canceled because nothing could be a bigger joke that the joke that’s running our country right now!!!
816,They won’t.
817,Omg the New World Order is a right wing conspiracy theory… um. Wait. Well I guess they’re saying it out loud now. The time between some thing being called a conspiracy theory and it coming out as 100% accurate is shrinking drastically.
818,"It’s amazing how silent all the people who want Clarance Thomas to resign because his wife has opinions were on Joe Biden’s family’s opinions, corruption, degeneracy etc…"
819,Wait till she sees the shit the Joe Biden’s family members have done I’m sure she’ll be outraged. Right?!?
820,The bullshit never ends.
821,Seems like the American people really prefer mean tweets to 6 dollar gas!!!
822,"What kind of privilege is it when you can assault someone on national television and then go ahead and win an Oscar rather than go to jail?

Asking for millions of supposedly privileged people. #Oscars"
823,"Why is will smith laughing after the joke? He laughs, then he gets all tough guy slaps Chris Rock goes back shouts almost like he’s acting like the tough guy rather than being one. I’m not saying it staged I’m saying Will Smith seems to be playing a role to look a part not be it."
824,"To me rational would be life imprisonment for pedophiles, not extremely lenient sentencing at a fraction of what local prosecutors recommended! (prosecutors who were likely already soft on crime leftists given where she’s from.)"
825,Without fear of what? Having to pay the public transportation fees for the use of said public transportation? Should only certain races have to pay? Is that what you’re saying here? https://t.co/xYWyC8a26c
826,"We all knew Hunter was probably spreading diseases but this could be a whole new level even for him!!! WTF. 
I wonder if the billions the US is sending in aid has ties to this insanity?"
827,The Russian military leadership is not talking to their US counterparts and Biden is out there talking about what our troops are going to see in Ukraine. This reckless moron is going to start world war 3.
828,It’s hard to fathom the speed at which we went from “Believe all women” to “some women” to “I don’t know what a woman is” https://t.co/tXs5EgCLSd
829,"Imagine saying this with a straight face? Dems accused Kavanaugh of being a serial rapist with no evidence besides the word of someone that couldn’t remember anything &amp; Michael Avenatti.

Republicans questioned Jackson about very lenient sentences for pedos &amp; child pornographers!"
830,This is going to be very helpful on the battlefield. Weakness is out strength!
831,Democrats really doing their best to secure the pedophile vote for future elections this week.
832,"Yikes. Sadly, her thought process on pedophiles seems very much in line with Democrats in D.C."
833,10% for the big guy has its privileges.
834,Android users @mxmnews is ready for you now. Tired of the monopoly that Big Tech has over your news? Download my new app right now FOR FREE. Mainstream News without Mainstream Bias right from your Android. https://t.co/tehfmEP0QM https://t.co/Iabtt35qAQ
835,Hahahahahaha https://t.co/Ahkz91fuUZ
836,"Pedophiles across the country must be rejoicing at the prospect of having Judge Jackson as a continued advocate for them sitting on the Supreme Court. I literally cannot believe Democrats and even a handful of weak RINOs are seemingly OK with this. Parents, it’s time to speak up!"
837,The struggle is real. https://t.co/7xeo8OnMqM
838,"Now the left is going to withdraw their support… then again the left has gone all in in support of the white supremisist Azof battalion in Ukraine so apparently they’re flexible?!?

Ukraine Blocks Trans Women Refugees: ""They Are Men Must Go Back &amp; Fight"" https://t.co/1NO6xGpIXL"
839,Ivanka Trump sends 1M meals to Ukrainian refugees | Fox News https://t.co/UUAInyL0l0
840,"Woke Companies decry ""social injustice"" at home, while profiting from brutal regimes abroad. Don't let Corporate Wokeism take away your freedom of speech. Join millions of Americans &amp; pledge to not do business with Woke Corporations.
It’s time to push back!https://t.co/UgsEBOKQLJ"
841,"Tucker gets censored by twitter for stating biological facts and our media is seemingly too scared to even criticize any single aspect of Judge Jackson or her judicial philosophy because she’s a black woman and they’ll get accused of…whatever.
 
Our country is so screwed"
842,1 + 1 = ??? I have no idea what the answer is… I’m not a mathematician!!! #JudgeKetanjiBrownJackson
843,I have no idea what that is… I’m not a biologist!!! https://t.co/rcw5xu56T5
844,"Total bullshit from twitter. 

They're censoring indisputable biological facts to protect the feelings of snowflake Democrat radicals!!!"
845,Exclusive: Donald Trump Jr. launches news aggregation app https://t.co/IIrkgxzHjy
846,COVID is going to kill itself!!! https://t.co/4u0W4sovvU
847,Tired of the monopoly that Apple News and Big Tech has over your news? Download my new app right now for free. Mainstream News without Mainstream Bias right from your iPhone! https://t.co/OzwhCiyL2d https://t.co/ppmcMhBH5C
848,Unreal even for Mitt.
849,"🚨🚨🚨Biden is so desperate for a deal he’s trying to hand billions of 💰 to Iran and remove the regime’s terrorist arm from the terrorist blacklist. Disgraceful! @SecPompeo, @JohnRatcliffe and @robertcobrien are right, “this is a time to project strength, not weakness."""
850,"We understand that Judge Jackson, like many radical leftists, has been/wants to be very lenient in sentencing pedophiles, (I’d be much harsher), but why is Biden withholding 48,000 records about Judge Jackson's time on the Sentencing Commission?
Don’t Americans deserve to know?"
851,Anthony Fauci
852,"And this isn’t an endorsement either, but enough is enough with the lies being told about this guy from his opponents."
853,"I haven’t commented previously, but I'm getting tired of watching the neocons in #OHSen running dishonest ads calling @JDVance1 a never-Trumper. It's BS.

A lot of conservatives were skeptical of DJT in 2016 &amp; got won over when they saw him in action.

JD is 100% America First."
854,"BREAKING: DOJ Spied on Journalists’ Emails Via Sealed Search Warrants &amp; Non-Disclosure Orders

Microsoft’s Legal Docs Reveal How DOJ Repeatedly Concealed Possession of Privileged Communications from Federal Judge

#BidenDiary https://t.co/LNP98OOFkp"
855,"Another W for Michael Avenatti: ""If you doubt my prediction, please check my record over the last 7 months."" #Winning"
856,I was told by the left/the media you couldn’t say “GAY” in Florida? I guess they were full of shit as usual?!? https://t.co/GMrdXWaiCr
857,"So Bloomberg, who’s primary owner spent a a billion dollars to win American Samoa in the democrat primaries, thinks you should let your pets die to to deal with inflation rather than take on the stupid Democrat policies that got us here in the first place.
Got it. 👍👍👍"
858,It identifies as a fish… but it’s clearly a donkey seal.
859,"Jen Psaki: 'We basically crushed the Russian economy'

Well that makes two economies crushed by the Biden Administration… Ours and theirs. Maybe do something to actually help ours for a change."
860,Serious question… Is anyone actually dumb enough to believe that this was a coding error instead of something used to drive the narrative that they wanted? https://t.co/p8M9XCnjXV
861,It’s not that hard. No one gives a shit if you don’t want to be a man anymore… just don’t use that biological advantage to destroy woman’s sports crushing female competitors who have trained their whole lives to be the best female athletes out there.
862,You mean the people hit by busses who may have had it shouldn’t have been considered COVID deaths after all? https://t.co/HW5z7jZ1FD
863,➡️ Stop voting for Democrats https://t.co/olQzHNWZsU
864,"On the bright side, if Democrats are going to fully embrace Biological Men in women’s sports I guess they’ll finally quit bitching about “The Patriarchy?” https://t.co/thLeKev1KW"
865,This all ends when enough people have the balls to say what they’re actually thinking…
866,There’s no commission to investigate these liars and crooks because they’re on the same team as those who decide which people are subject to our laws and which aren’t. https://t.co/0K4SjAQbD1
867,"Now that even the main stream media acknowledges what we all know to be true about the hunter Biden laptop, don’t we all deserve to know how old those underage looking girls were?

I get that Democrats are pro-pedo these days, but I think other decent people still care!!!"
868,Why are US tax dollars funding Russian animal labs? A White Coat Waste Project investigation revealed that Biden's NIH funded Russian government experiments that tortured cats. Demand BIDEN stop paying for Kremlin-run animal labs. WTF! https://t.co/TcqJJI8QLX
869,"Seems there’s a reason Disney, CNN, etc… were fighting the Florida anti-grooming bill so aggressively."
870,The leftwing media hacks want you to forget about this...
871,Well this tweet aged like fine wine.
872,"The last thing we need in the Senate is a Pro-CRT RINO!!!

Pat McCrory’s North Carolina Education Appointee Supported Critical Race Theory Training for Disabled Preschoolers

https://t.co/a6k2DAztAG"
873,"""The Party of Science"" 

Poll: 66% of Democrats Believe Changing One’s Biological Sex is Possible

https://t.co/lyCrZ512HI"
874,READ THIS THREAD!!! 👇👇👇
875,"Anyone with a brain can see that the deep state worked together with Big Tech &amp; the establishment media to cover up Hunter's laptop scandal to protect Joe in the run up to the election.

These people are propagandists with zero credibility &amp; should NEVER be believed on anything."
876,"Siri, what is the definition of liberal privilege???"
877,Yikes!!!
878,Yes the “Don’t let them groom our kids bill” should have 100% support.
879,Yea. That’s it. That’s definitely what it was.
880,"Sending Biden to Europe for “High Stakes” NATO talks will only embolden our enemies further. 
If you want to get something done right send Trump."
881,"BREAKING VIDEO: Unconstitutional Pre-Dawn FBI Raid on Project Veritas Journalist Shows Armed Agents Clutching Weapons, Tossing Belongings, and Ransacking Home at Direction of Biden DOJ

“LET ME SEE YOUR HANDS!”

#VeritasRaids

https://t.co/FMP9H6IscU"
882,"Checks out, although I don't think even pre-woke Kimmel was ever that funny. 

Adam Carolla carried Jimmy's fat ass on the Man Show!!!"
883,"There is no “don’t say gay” bill but given all the crazy sexualization of our kids propaganda I’m seeing maybe we need a “Don’t Groom Our Kids” bill.

If the left needs to teach toddlers these things there can be few other rational explanations and parents need to push back now!"
884,How is it possible that these are the people making Trillion Dollar decisions that out kids and grandkids will beholden to? Morons.
885,"What the hell has Congress done to deserve a 21% raise? I guess, like insider trading, they can hedge against inflation for themselves while you get stuck dealing with the consequences of their incompetence."
886,"Killing OAN is one more example of Fake News CNN (AT&amp;T owned) attempting to slap a muzzle on the truth.  Demand OAN stay on the air and ditch AT&amp;T for Patriot Mobile, who DEFENDS the truth. https://t.co/JRHaBn4utX https://t.co/Ju24XzNH8w"
887,"I remember two months ago when someone bought Tom Brady’s “last touchdown” football for $500,000!"
888,"Never Trumper Ana Navarro wants the Biden Administration to engage in the same authoritarian tactics that Putin does and restrict the free speech rights of America citizens. 

How long before she goes full Soviet and calls to throw people in the Gulag for wrong think???

SCARY!!!"
889,Soon quarterly boosters will be necessary… not so much for prevention of COVID but to boost Pfizer’s quarterly earnings.
890,Anyone want to take a guess at how many world leaders ignored calls from President Trump?
891,"Yikes!!!

Liz Cheney is so unpopular in Wyoming that she has destroyed Dick Cheney's reputation among Republicans there."
892,"But if you took a selfie at the capitol you could still be in jail. This country has gone to shit because of democrats and weak republicans too afraid to stand up to them. 
Fucking disgraceful."
893,"Biden’s weakness and the predatory response seems contagious! 

BREAKING: Sky News Arabia is reporting that multiple long-range ballistic missiles have been fired targeting the U.S. consulate in Erbil, Iraq.
 https://t.co/roJDeXbPKq"
894,It’s like she’s hoping he will jump In and save her.
895,"Youtube deleted the @fullsendpodcast with my father, just like he predicted they would, because they don't believe in free speech.

Time to put the podcast up on @rumblevideo!!!"
896,I remember a time when you could get banned from social media for simply stating the country of origin of COVID-19? Now calls for violence against individuals from a country is OK? Truly sick stuff people. https://t.co/EO9nzY0tiT
897,Joe Biden's weakness is emboldening all of America's enemies!!!
898,Biden &amp; blue state libs destroyed America’s energy independence &amp; now they are willing to pay millions to dictators for oil. What about Texas? Oklahoma? ND? What about America? STOP filling the pockets of dictators and restart the Keystone Pipeline. https://t.co/KLL7SoYIzP
899,She’s not wrong!!!
900,"BREAKING: Pulitzer Prize Winning New York Times Reporter @AllMattNYT: January 6 Media Coverage ‘Overreaction,’ FBI Involved, Event Was Not Organized Despite Ongoing Narrative

Calls Traumatized @nytimes Reporters ""Fu*king Bit*hes""

#UnmaskNYT https://t.co/Bxr7WtMtqc"
901,Biden and blue state liberals destroyed America’s energy independence now they are willing to pay millions to dictators for oil. What about TX? Ok? ND? What about America? Demand Biden STOP filling the pockets of dictators &amp; restart the Keystone Pipeline. https://t.co/KLL7SoYIzP
902,Well that went from conspiracy theory to senate testimony in about 6 days… It used to take six months to go from conspiracy theory to fact.
903,These are not serious people.  They are also not people who are actually trying to help Americans struggling with these increased costs.
904,I can’t help but notice NONE OF THEM ARE WEARING MASKS!!!
905,"Remember folks gas prices started skyrocketing as soon as Joe Biden took office, it’ll get worse but Democrat policies started all this not Russia."
906,Sort of like jobs.
